,city,date,gender,match_type,player of the match,team 1,team 2,team_1_batting_average,team_1_bowling_average,team_2_batting_average,team_2_bowling_average,toss_decision,toss_winner,umpire_1,umpire_2,venue,win_by_runs,win_by_wickets,winner
103,Johannesburg,2009-05-16,male,T20,RG Sharma,Kolkata Knight Riders,Deccan Chargers,5.0,102.5,32.523809523809526,5.0,field,Deccan Chargers,RE Koertzen,S Ravi,New Wanderers Stadium,0,6,Deccan Chargers
104,Johannesburg,2009-05-17,male,T20,Yuvraj Singh,Kings XI Punjab,Deccan Chargers,13.0,23.147058823529413,8.0,24.133333333333333,field,Deccan Chargers,S Ravi,RB Tiffin,New Wanderers Stadium,1,0,Kings XI Punjab
105,Bloemfontein,2009-05-17,male,T20,AB de Villiers,Delhi Daredevils,Rajasthan Royals,32.75,22.848484848484848,4.666666666666667,26.5,bat,Delhi Daredevils,SS Hazare,IL Howell,OUTsurance Oval,14,0,Delhi Daredevils
106,Centurion,2009-05-18,male,T20,BJ Hodge,Chennai Super Kings,Kolkata Knight Riders,44.75,40.666666666666664,28.875,26.166666666666668,bat,Chennai Super Kings,SJA Taufel,RB Tiffin,SuperSport Park,0,7,Kolkata Knight Riders
107,Johannesburg,2009-05-19,male,T20,JH Kallis,Delhi Daredevils,Royal Challengers Bangalore,20.857142857142858,28.782608695652176,25.285714285714285,22.433333333333334,bat,Delhi Daredevils,IL Howell,RB Tiffin,New Wanderers Stadium,0,7,Royal Challengers Bangalore
108,Durban,2009-05-20,male,T20,LR Shukla,Rajasthan Royals,Kolkata Knight Riders,11.0,36.0,17.142857142857142,11.11111111111111,field,Kolkata Knight Riders,BG Jerling,SJA Taufel,Kingsmead,0,4,Kolkata Knight Riders
109,Durban,2009-05-20,male,T20,M Muralitharan,Chennai Super Kings,Kings XI Punjab,1.0,23.71875,13.444444444444445,24.875,bat,Chennai Super Kings,BG Jerling,SJA Taufel,Kingsmead,24,0,Chennai Super Kings
110,Centurion,2009-05-21,male,T20,V Sehwag,Mumbai Indians,Delhi Daredevils,11.4,28.7,12.6,24.0,field,Delhi Daredevils,IL Howell,S Ravi,SuperSport Park,0,4,Delhi Daredevils
111,Centurion,2009-05-21,male,T20,MK Pandey,Royal Challengers Bangalore,Deccan Chargers,18.095238095238095,23.82857142857143,25.5,30.782608695652176,bat,Royal Challengers Bangalore,IL Howell,S Ravi,SuperSport Park,12,0,Royal Challengers Bangalore
112,Centurion,2009-05-22,male,T20,AC Gilchrist,Delhi Daredevils,Deccan Chargers,2.6666666666666665,23.45945945945946,32.26086956521739,29.75,field,Deccan Chargers,BR Doctrove,DJ Harper,SuperSport Park,0,6,Deccan Chargers
113,Johannesburg,2009-05-23,male,T20,MK Pandey,Chennai Super Kings,Royal Challengers Bangalore,30.727272727272727,35.5,19.238095238095237,36.0,field,Royal Challengers Bangalore,RE Koertzen,SJA Taufel,New Wanderers Stadium,0,6,Royal Challengers Bangalore
114,Johannesburg,2009-05-24,male,T20,A Kumble,Deccan Chargers,Royal Challengers Bangalore,21.0,32.57142857142857,24.75,23.394736842105264,field,Royal Challengers Bangalore,RE Koertzen,SJA Taufel,New Wanderers Stadium,6,0,Deccan Chargers
115,Mumbai,2010-03-12,male,T20,AD Mathews,Kolkata Knight Riders,Deccan Chargers,5.0,68.0,24.4,35.89473684210526,field,Deccan Chargers,RE Koertzen,RB Tiffin,Dr DY Patil Sports Academy,11,0,Kolkata Knight Riders
116,Mumbai,2010-03-13,male,T20,YK Pathan,Mumbai Indians,Rajasthan Royals,5.0,23.5,11.4,17.8,bat,Mumbai Indians,RE Koertzen,RB Tiffin,Brabourne Stadium,4,0,Mumbai Indians
117,Chandigarh,2010-03-13,male,T20,G Gambhir,Kings XI Punjab,Delhi Daredevils,5.0,29.904761904761905,35.333333333333336,23.939393939393938,field,Delhi Daredevils,BR Doctrove,S Ravi,"Punjab Cricket Association Stadium, Mohali",0,5,Delhi Daredevils
118,Kolkata,2010-03-14,male,T20,MK Tiwary,Royal Challengers Bangalore,Kolkata Knight Riders,26.041666666666668,37.36842105263158,5.0,54.5,field,Kolkata Knight Riders,HDPK Dharmasena,AM Saheba,Eden Gardens,0,7,Kolkata Knight Riders
119,Chennai,2010-03-14,male,T20,WPUJC Vaas,Deccan Chargers,Chennai Super Kings,31.92,5.0,34.54545454545455,23.85,bat,Deccan Chargers,K Hariharan,DJ Harper,"MA Chidambaram Stadium, Chepauk",31,0,Deccan Chargers
120,Ahmedabad,2010-03-15,male,T20,V Sehwag,Rajasthan Royals,Delhi Daredevils,67.0,23.88888888888889,39.0,5.0,field,Delhi Daredevils,BG Jerling,RE Koertzen,"Sardar Patel Stadium, Motera",0,6,Delhi Daredevils
121,Bangalore,2010-03-16,male,T20,JH Kallis,Kings XI Punjab,Royal Challengers Bangalore,20.647058823529413,32.19230769230769,29.75,20.733333333333334,bat,Kings XI Punjab,S Das,DJ Harper,M Chinnaswamy Stadium,0,8,Royal Challengers Bangalore
122,Kolkata,2010-03-16,male,T20,MS Dhoni,Chennai Super Kings,Kolkata Knight Riders,26.0625,37.45,11.0,25.346153846153847,bat,Chennai Super Kings,HDPK Dharmasena,AM Saheba,Eden Gardens,55,0,Chennai Super Kings
123,Delhi,2010-03-17,male,T20,SR Tendulkar,Mumbai Indians,Delhi Daredevils,10.0,36.5,3.0,19.94736842105263,field,Delhi Daredevils,BR Doctrove,SK Tarapore,Feroz Shah Kotla,98,0,Mumbai Indians
124,Bangalore,2010-03-18,male,T20,JH Kallis,Rajasthan Royals,Royal Challengers Bangalore,4.666666666666667,23.741935483870968,31.583333333333332,5.0,field,Royal Challengers Bangalore,K Hariharan,DJ Harper,M Chinnaswamy Stadium,0,10,Royal Challengers Bangalore
125,Delhi,2010-03-19,male,T20,ML Hayden,Delhi Daredevils,Chennai Super Kings,10.285714285714286,24.321428571428573,34.370370370370374,46.333333333333336,bat,Delhi Daredevils,BR Doctrove,SK Tarapore,Feroz Shah Kotla,0,5,Chennai Super Kings
126,Cuttack,2010-03-19,male,T20,A Symonds,Deccan Chargers,Kings XI Punjab,5.0,27.285714285714285,32.0,48.0,field,Kings XI Punjab,BF Bowden,M Erasmus,Barabati Stadium,6,0,Deccan Chargers
127,Ahmedabad,2010-03-20,male,T20,AA Jhunjhunwala,Rajasthan Royals,Kolkata Knight Riders,5.0,35.72727272727273,28.22222222222222,23.21875,bat,Rajasthan Royals,RE Koertzen,RB Tiffin,"Sardar Patel Stadium, Motera",34,0,Rajasthan Royals
128,Mumbai,2010-03-20,male,T20,JH Kallis,Mumbai Indians,Royal Challengers Bangalore,13.0,29.933333333333334,34.333333333333336,22.958333333333332,bat,Mumbai Indians,HDPK Dharmasena,SS Hazare,Brabourne Stadium,0,7,Royal Challengers Bangalore
129,Cuttack,2010-03-21,male,T20,A Symonds,Deccan Chargers,Delhi Daredevils,28.09090909090909,75.0,5.0,18.470588235294116,bat,Deccan Chargers,BF Bowden,M Erasmus,Barabati Stadium,10,0,Deccan Chargers
130,Chennai,2010-03-21,male,T20,J Theron,Kings XI Punjab,Chennai Super Kings,28.0,24.517241379310345,3.3333333333333335,24.65714285714286,field,Chennai Super Kings,K Hariharan,DJ Harper,"MA Chidambaram Stadium, Chepauk",0,0,tie
131,Mumbai,2010-03-22,male,T20,SR Tendulkar,Kolkata Knight Riders,Mumbai Indians,35.142857142857146,26.47826086956522,25.5,34.0,bat,Kolkata Knight Riders,SS Hazare,SJA Taufel,Brabourne Stadium,0,7,Mumbai Indians
132,Bangalore,2010-03-23,male,T20,RV Uthappa,Royal Challengers Bangalore,Chennai Super Kings,28.565217391304348,35.8,3.8,26.952380952380953,field,Chennai Super Kings,RE Koertzen,RB Tiffin,M Chinnaswamy Stadium,36,0,Royal Challengers Bangalore
133,Chandigarh,2010-03-24,male,T20,AC Voges,Rajasthan Royals,Kings XI Punjab,5.0,25.942857142857143,0.0,25.4,field,Kings XI Punjab,BR Doctrove,SK Tarapore,"Punjab Cricket Association Stadium, Mohali",31,0,Rajasthan Royals
134,Mumbai,2010-03-25,male,T20,SR Tendulkar,Chennai Super Kings,Mumbai Indians,27.31578947368421,22.80952380952381,26.0625,26.161290322580644,field,Mumbai Indians,BF Bowden,AM Saheba,Brabourne Stadium,0,5,Mumbai Indians
135,Ahmedabad,2010-03-26,male,T20,YK Pathan,Deccan Chargers,Rajasthan Royals,5.0,19.0,29.677419354838708,36.5,bat,Deccan Chargers,HDPK Dharmasena,SJA Taufel,"Sardar Patel Stadium, Motera",0,8,Rajasthan Royals
136,Chandigarh,2010-03-27,male,T20,MK Tiwary,Kolkata Knight Riders,Kings XI Punjab,28.555555555555557,25.675675675675677,15.5,33.5625,bat,Kolkata Knight Riders,BR Doctrove,S Ravi,"Punjab Cricket Association Stadium, Mohali",39,0,Kolkata Knight Riders
137,Bangalore,2010-03-25,male,T20,KM Jadhav,Delhi Daredevils,Royal Challengers Bangalore,21.0,27.045454545454547,10.0,32.0,field,Royal Challengers Bangalore,BG Jerling,RE Koertzen,M Chinnaswamy Stadium,17,0,Delhi Daredevils
138,Ahmedabad,2010-03-28,male,T20,NV Ojha,Rajasthan Royals,Chennai Super Kings,2.0,18.0,4.0,30.272727272727273,bat,Rajasthan Royals,SS Hazare,SJA Taufel,"Sardar Patel Stadium, Motera",17,0,Rajasthan Royals
139,Mumbai,2010-03-28,male,T20,Harbhajan Singh,Mumbai Indians,Deccan Chargers,14.583333333333334,19.785714285714285,4.555555555555555,20.5,field,Deccan Chargers,S Das,K Hariharan,Dr DY Patil Sports Academy,41,0,Mumbai Indians
140,Delhi,2010-03-29,male,T20,DA Warner,Delhi Daredevils,Kolkata Knight Riders,5.0,13.375,0.0,25.25,bat,Delhi Daredevils,SS Hazare,SJA Taufel,Feroz Shah Kotla,40,0,Delhi Daredevils
141,Mumbai,2010-03-30,male,T20,SL Malinga,Kings XI Punjab,Mumbai Indians,13.307692307692308,163.0,19.0,33.111111111111114,field,Mumbai Indians,BR Doctrove,SK Tarapore,Brabourne Stadium,0,4,Mumbai Indians
142,Chennai,2010-03-31,male,T20,M Vijay,Royal Challengers Bangalore,Chennai Super Kings,19.333333333333332,27.305555555555557,36.3,27.217391304347824,bat,Royal Challengers Bangalore,BG Jerling,RE Koertzen,"MA Chidambaram Stadium, Chepauk",0,5,Chennai Super Kings
143,Delhi,2010-03-31,male,T20,KD Karthik,Delhi Daredevils,Rajasthan Royals,30.61904761904762,20.818181818181817,12.0,40.25,bat,Delhi Daredevils,HDPK Dharmasena,SJA Taufel,Feroz Shah Kotla,67,0,Delhi Daredevils
144,Kolkata,2010-04-01,male,T20,SC Ganguly,Kolkata Knight Riders,Deccan Chargers,18.125,5.0,26.76923076923077,61.75,bat,Kolkata Knight Riders,K Hariharan,DJ Harper,Eden Gardens,24,0,Kolkata Knight Riders
145,Chandigarh,2010-04-02,male,T20,KP Pietersen,Kings XI Punjab,Royal Challengers Bangalore,14.0,33.74193548387097,30.333333333333332,25.82051282051282,bat,Kings XI Punjab,BF Bowden,M Erasmus,"Punjab Cricket Association Stadium, Mohali",0,6,Royal Challengers Bangalore
146,Chennai,2010-04-03,male,T20,M Vijay,Chennai Super Kings,Rajasthan Royals,26.428571428571427,23.263157894736842,31.666666666666668,49.6,bat,Chennai Super Kings,RE Koertzen,RB Tiffin,"MA Chidambaram Stadium, Chepauk",23,0,Chennai Super Kings
147,Mumbai,2010-04-03,male,T20,AT Rayudu,Mumbai Indians,Deccan Chargers,14.285714285714286,39.285714285714285,1.0,18.620689655172413,bat,Mumbai Indians,BR Doctrove,S Ravi,Brabourne Stadium,63,0,Mumbai Indians
148,Kolkata,2010-04-04,male,T20,DPMD Jayawardene,Kolkata Knight Riders,Kings XI Punjab,25.666666666666668,36.833333333333336,32.10526315789474,5.0,bat,Kolkata Knight Riders,S Asnani,DJ Harper,Eden Gardens,0,8,Kings XI Punjab
149,Delhi,2010-04-04,male,T20,PD Collingwood,Delhi Daredevils,Royal Challengers Bangalore,26.5,28.708333333333332,5.0,17.487179487179485,bat,Delhi Daredevils,BF Bowden,M Erasmus,Feroz Shah Kotla,37,0,Delhi Daredevils
150,Nagpur,2010-04-05,male,T20,SK Warne,Rajasthan Royals,Deccan Chargers,7.5,33.285714285714285,32.0,28.76,bat,Rajasthan Royals,HDPK Dharmasena,SJA Taufel,"Vidarbha Cricket Association Stadium, Jamtha",2,0,Rajasthan Royals
151,Chennai,2010-04-06,male,T20,SK Raina,Chennai Super Kings,Mumbai Indians,27.857142857142858,72.66666666666667,16.076923076923077,19.333333333333332,bat,Chennai Super Kings,S Asnani,DJ Harper,"MA Chidambaram Stadium, Chepauk",24,0,Chennai Super Kings
152,Jaipur,2010-04-07,male,T20,MJ Lumb,Kings XI Punjab,Rajasthan Royals,23.08695652173913,27.444444444444443,32.5,28.896551724137932,bat,Kings XI Punjab,S Ravi,SK Tarapore,Sawai Mansingh Stadium,0,9,Rajasthan Royals
153,Kolkata,2010-04-07,male,T20,SC Ganguly,Kolkata Knight Riders,Delhi Daredevils,33.333333333333336,18.53846153846154,32.5,37.05555555555556,bat,Kolkata Knight Riders,BG Jerling,RE Koertzen,Eden Gardens,14,0,Kolkata Knight Riders
154,Bangalore,2010-04-08,male,T20,TL Suman,Royal Challengers Bangalore,Deccan Chargers,19.75,31.454545454545453,39.44444444444444,29.16,field,Deccan Chargers,S Asnani,DJ Harper,M Chinnaswamy Stadium,0,7,Deccan Chargers
155,Chandigarh,2010-04-09,male,T20,KC Sangakkara,Mumbai Indians,Kings XI Punjab,13.0,9.0,23.73913043478261,24.516129032258064,bat,Mumbai Indians,M Erasmus,AM Saheba,"Punjab Cricket Association Stadium, Mohali",0,6,Kings XI Punjab
156,Nagpur,2010-04-10,male,T20,RJ Harris,Chennai Super Kings,Deccan Chargers,5.0,26.142857142857142,40.94444444444444,29.3,bat,Chennai Super Kings,HDPK Dharmasena,SJA Taufel,"Vidarbha Cricket Association Stadium, Jamtha",0,6,Deccan Chargers
157,Bangalore,2010-04-10,male,T20,R Vinay Kumar,Kolkata Knight Riders,Royal Challengers Bangalore,18.875,26.857142857142858,31.066666666666666,28.68421052631579,field,Royal Challengers Bangalore,K Hariharan,DJ Harper,M Chinnaswamy Stadium,0,7,Royal Challengers Bangalore
158,Delhi,2010-04-11,male,T20,PP Chawla,Delhi Daredevils,Kings XI Punjab,2.5,24.217391304347824,21.0,30.727272727272727,bat,Delhi Daredevils,BF Bowden,AM Saheba,Feroz Shah Kotla,0,7,Kings XI Punjab
159,Jaipur,2010-04-11,male,T20,SR Tendulkar,Mumbai Indians,Rajasthan Royals,40.92307692307692,27.714285714285715,17.0,21.06896551724138,field,Rajasthan Royals,BR Doctrove,SK Tarapore,Sawai Mansingh Stadium,37,0,Mumbai Indians
160,Nagpur,2010-04-12,male,T20,Harmeet Singh,Deccan Chargers,Royal Challengers Bangalore,16.0,59.77777777777778,2.0,25.0,field,Royal Challengers Bangalore,RE Koertzen,RB Tiffin,"Vidarbha Cricket Association Stadium, Jamtha",13,0,Deccan Chargers
161,Mumbai,2010-04-13,male,T20,KA Pollard,Mumbai Indians,Delhi Daredevils,19.3,32.0,68.0,28.0,bat,Mumbai Indians,S Asnani,DJ Harper,Brabourne Stadium,39,0,Mumbai Indians
162,Chennai,2010-04-13,male,T20,R Ashwin,Kolkata Knight Riders,Chennai Super Kings,5.0,26.05263157894737,38.03030303030303,84.0,bat,Kolkata Knight Riders,SS Hazare,SJA Taufel,"MA Chidambaram Stadium, Chepauk",0,9,Chennai Super Kings
163,Jaipur,2010-04-14,male,T20,KP Pietersen,Rajasthan Royals,Royal Challengers Bangalore,26.4,26.966666666666665,29.8125,26.966666666666665,bat,Rajasthan Royals,BR Doctrove,S Ravi,Sawai Mansingh Stadium,0,5,Royal Challengers Bangalore
164,Chennai,2010-04-15,male,T20,G Gambhir,Chennai Super Kings,Delhi Daredevils,27.0,22.285714285714285,32.14705882352941,28.13157894736842,bat,Chennai Super Kings,HDPK Dharmasena,SS Hazare,"MA Chidambaram Stadium, Chepauk",0,6,Delhi Daredevils
165,Dharamsala,2010-04-16,male,T20,RG Sharma,Kings XI Punjab,Deccan Chargers,23.291666666666668,24.254901960784313,5.0,55.333333333333336,field,Deccan Chargers,M Erasmus,AM Saheba,Himachal Pradesh Cricket Association Stadium,0,5,Deccan Chargers
166,Bangalore,2010-04-17,male,T20,R McLaren,Mumbai Indians,Royal Challengers Bangalore,24.0,27.833333333333332,8.272727272727273,63.25,field,Royal Challengers Bangalore,HDPK Dharmasena,SJA Taufel,M Chinnaswamy Stadium,57,0,Mumbai Indians
167,Kolkata,2010-04-17,male,T20,JD Unadkat,Rajasthan Royals,Kolkata Knight Riders,10.444444444444445,28.285714285714285,30.5,5.0,bat,Rajasthan Royals,BG Jerling,RB Tiffin,Eden Gardens,0,8,Kolkata Knight Riders
168,Dharamsala,2010-04-18,male,T20,MS Dhoni,Kings XI Punjab,Chennai Super Kings,63.583333333333336,28.692307692307693,39.24,25.404255319148938,field,Chennai Super Kings,BF Bowden,AM Saheba,Himachal Pradesh Cricket Association Stadium,0,6,Chennai Super Kings
169,Delhi,2010-04-18,male,T20,A Symonds,Deccan Chargers,Delhi Daredevils,5.0,21.972972972972972,13.5,20.22222222222222,bat,Deccan Chargers,BR Doctrove,SK Tarapore,Feroz Shah Kotla,11,0,Deccan Chargers
170,Kolkata,2010-04-19,male,T20,M Kartik,Mumbai Indians,Kolkata Knight Riders,26.818181818181817,28.0,30.894736842105264,26.6,bat,Mumbai Indians,BG Jerling,RE Koertzen,Eden Gardens,0,9,Kolkata Knight Riders
171,Mumbai,2010-04-21,male,T20,KA Pollard,Mumbai Indians,Royal Challengers Bangalore,22.363636363636363,28.115384615384617,30.41176470588235,18.733333333333334,bat,Mumbai Indians,BR Doctrove,RB Tiffin,Dr DY Patil Sports Academy,35,0,Mumbai Indians
172,Mumbai,2010-04-22,male,T20,DE Bollinger,Chennai Super Kings,Deccan Chargers,7.6,23.0,1.0,27.615384615384617,bat,Chennai Super Kings,BR Doctrove,RB Tiffin,Dr DY Patil Sports Academy,38,0,Chennai Super Kings
173,Mumbai,2010-04-24,male,T20,A Kumble,Deccan Chargers,Royal Challengers Bangalore,0.8571428571428571,24.2,32.9,21.94,bat,Deccan Chargers,RE Koertzen,SJA Taufel,Dr DY Patil Sports Academy,0,9,Royal Challengers Bangalore
174,Mumbai,2010-04-25,male,T20,SK Raina,Chennai Super Kings,Mumbai Indians,15.5,21.03030303030303,5.0,17.75,bat,Chennai Super Kings,RE Koertzen,SJA Taufel,Dr DY Patil Sports Academy,22,0,Chennai Super Kings
175,Chennai,2011-04-08,male,T20,S Anirudha,Chennai Super Kings,Kolkata Knight Riders,29.0,48.08,6.6,31.0,bat,Chennai Super Kings,BR Doctrove,PR Reiffel,"MA Chidambaram Stadium, Chepauk",2,0,Chennai Super Kings
176,Hyderabad,2011-04-09,male,T20,SK Trivedi,Deccan Chargers,Rajasthan Royals,10.4,11.25,57.0,22.82,field,Rajasthan Royals,RE Koertzen,SK Tarapore,"Rajiv Gandhi International Stadium, Uppal",0,8,Rajasthan Royals
177,Kochi,2011-04-09,male,T20,AB de Villiers,Kochi Tuskers Kerala,Royal Challengers Bangalore,25.166666666666668,25.88888888888889,5.0,28.580645161290324,bat,Kochi Tuskers Kerala,HDPK Dharmasena,K Hariharan,Nehru Stadium,0,6,Royal Challengers Bangalore
178,Delhi,2011-04-10,male,T20,SL Malinga,Delhi Daredevils,Mumbai Indians,0.8,18.605263157894736,40.53333333333333,25.72340425531915,bat,Delhi Daredevils,AM Saheba,RB Tiffin,Feroz Shah Kotla,0,8,Mumbai Indians
179,Mumbai,2011-04-10,male,T20,SB Wagh,Kings XI Punjab,Pune Warriors,5.0,24.0,24.72972972972973,30.0,bat,Kings XI Punjab,BR Doctrove,PR Reiffel,Dr DY Patil Sports Academy,0,7,Pune Warriors
180,Kolkata,2011-04-11,male,T20,JH Kallis,Kolkata Knight Riders,Deccan Chargers,26.1,26.433333333333334,11.6,20.333333333333332,bat,Kolkata Knight Riders,RE Koertzen,SK Tarapore,Eden Gardens,9,0,Kolkata Knight Riders
181,Jaipur,2011-04-12,male,T20,SK Warne,Delhi Daredevils,Rajasthan Royals,24.48,24.23076923076923,32.705882352941174,28.782608695652176,bat,Delhi Daredevils,Aleem Dar,RB Tiffin,Sawai Mansingh Stadium,0,6,Rajasthan Royals
182,Bangalore,2011-04-12,male,T20,SR Tendulkar,Royal Challengers Bangalore,Mumbai Indians,27.217391304347824,18.475,42.36666666666667,5.0,field,Mumbai Indians,HDPK Dharmasena,AL Hill,M Chinnaswamy Stadium,0,9,Mumbai Indians
183,Chandigarh,2011-04-13,male,T20,PC Valthaty,Chennai Super Kings,Kings XI Punjab,38.10344827586207,23.761904761904763,26.142857142857142,21.444444444444443,field,Kings XI Punjab,Asad Rauf,SL Shastri,"Punjab Cricket Association Stadium, Mohali",0,6,Kings XI Punjab
184,Mumbai,2011-04-13,male,T20,MD Mishra,Kochi Tuskers Kerala,Pune Warriors,4.4,15.0,18.454545454545453,26.78048780487805,bat,Kochi Tuskers Kerala,S Asnani,PR Reiffel,Dr DY Patil Sports Academy,0,4,Pune Warriors
185,Hyderabad,2011-04-14,male,T20,DW Steyn,Deccan Chargers,Royal Challengers Bangalore,17.0,25.666666666666668,5.0,69.0,field,Royal Challengers Bangalore,RE Koertzen,S Ravi,"Rajiv Gandhi International Stadium, Uppal",33,0,Deccan Chargers
186,Jaipur,2011-04-15,male,T20,G Gambhir,Rajasthan Royals,Kolkata Knight Riders,82.5,46.22222222222222,34.71052631578947,13.846153846153847,field,Kolkata Knight Riders,Aleem Dar,SS Hazare,Sawai Mansingh Stadium,0,9,Kolkata Knight Riders
187,Mumbai,2011-04-15,male,T20,BB McCullum,Mumbai Indians,Kochi Tuskers Kerala,45.7,29.84375,27.63157894736842,45.5,field,Kochi Tuskers Kerala,BR Doctrove,PR Reiffel,Wankhede Stadium,0,8,Kochi Tuskers Kerala
188,Chennai,2011-04-16,male,T20,MEK Hussey,Chennai Super Kings,Royal Challengers Bangalore,29.48148148148148,26.333333333333332,14.0,32.0,bat,Chennai Super Kings,HDPK Dharmasena,AL Hill,"MA Chidambaram Stadium, Chepauk",21,0,Chennai Super Kings
189,Hyderabad,2011-04-16,male,T20,PC Valthaty,Deccan Chargers,Kings XI Punjab,20.545454545454547,24.136363636363637,22.952380952380953,98.0,field,Kings XI Punjab,RE Koertzen,S Ravi,"Rajiv Gandhi International Stadium, Uppal",0,8,Kings XI Punjab
190,Mumbai,2011-04-17,male,T20,Yuvraj Singh,Pune Warriors,Delhi Daredevils,26.026315789473685,28.2,21.272727272727273,28.666666666666668,field,Delhi Daredevils,Asad Rauf,AM Saheba,Dr DY Patil Sports Academy,0,3,Delhi Daredevils
191,Kolkata,2011-04-17,male,T20,L Balaji,Rajasthan Royals,Kolkata Knight Riders,5.666666666666667,42.8,33.432432432432435,24.714285714285715,field,Kolkata Knight Riders,Aleem Dar,RB Tiffin,Eden Gardens,0,8,Kolkata Knight Riders
192,Kochi,2011-04-18,male,T20,BB McCullum,Chennai Super Kings,Kochi Tuskers Kerala,38.03333333333333,34.5,28.473684210526315,23.210526315789473,field,Kochi Tuskers Kerala,K Hariharan,AL Hill,Nehru Stadium,0,7,Kochi Tuskers Kerala
193,Delhi,2011-04-19,male,T20,S Sohal,Deccan Chargers,Delhi Daredevils,21.444444444444443,28.384615384615383,8.333333333333334,45.333333333333336,bat,Deccan Chargers,PR Reiffel,RJ Tucker,Feroz Shah Kotla,16,0,Deccan Chargers
194,Mumbai,2011-04-20,male,T20,MM Patel,Pune Warriors,Mumbai Indians,13.0,23.416666666666668,32.026315789473685,41.8125,bat,Pune Warriors,Asad Rauf,AM Saheba,Wankhede Stadium,0,7,Mumbai Indians
195,Kolkata,2011-04-20,male,T20,DPMD Jayawardene,Kochi Tuskers Kerala,Kolkata Knight Riders,36.0,28.205882352941178,3.8333333333333335,30.060606060606062,field,Kolkata Knight Riders,Aleem Dar,RB Tiffin,Eden Gardens,6,0,Kochi Tuskers Kerala
196,Chandigarh,2011-04-21,male,T20,SE Marsh,Kings XI Punjab,Rajasthan Royals,12.625,22.058823529411764,5.0,27.5,field,Rajasthan Royals,S Asnani,PR Reiffel,"Punjab Cricket Association Stadium, Mohali",48,0,Kings XI Punjab
197,Mumbai,2011-04-22,male,T20,Harbhajan Singh,Mumbai Indians,Chennai Super Kings,38.52173913043478,17.6,31.642857142857142,23.864864864864863,field,Chennai Super Kings,Asad Rauf,AM Saheba,Wankhede Stadium,8,0,Mumbai Indians
198,Kolkata,2011-04-22,male,T20,CH Gayle,Kolkata Knight Riders,Royal Challengers Bangalore,9.5,32.5,37.666666666666664,15.857142857142858,field,Royal Challengers Bangalore,SS Hazare,RB Tiffin,Eden Gardens,0,9,Royal Challengers Bangalore
199,Delhi,2011-04-23,male,T20,DA Warner,Delhi Daredevils,Kings XI Punjab,22.666666666666668,26.652173913043477,22.727272727272727,37.95,field,Kings XI Punjab,S Asnani,RE Koertzen,Feroz Shah Kotla,29,0,Delhi Daredevils
200,Hyderabad,2011-04-24,male,T20,SL Malinga,Mumbai Indians,Deccan Chargers,34.87179487179487,61.666666666666664,12.818181818181818,21.0,field,Deccan Chargers,HDPK Dharmasena,AL Hill,"Rajiv Gandhi International Stadium, Uppal",37,0,Mumbai Indians
201,Jaipur,2011-04-24,male,T20,SK Warne,Kochi Tuskers Kerala,Rajasthan Royals,4.090909090909091,26.972972972972972,89.5,27.333333333333332,field,Rajasthan Royals,BR Doctrove,SK Tarapore,Sawai Mansingh Stadium,0,8,Rajasthan Royals
202,Chennai,2011-04-25,male,T20,MEK Hussey,Chennai Super Kings,Pune Warriors,18.5,10.333333333333334,5.0,16.823529411764707,field,Pune Warriors,Aleem Dar,RB Tiffin,"MA Chidambaram Stadium, Chepauk",25,0,Chennai Super Kings
203,Delhi,2011-04-26,male,T20,V Kohli,Delhi Daredevils,Royal Challengers Bangalore,13.75,32.333333333333336,5.0,28.703703703703702,field,Royal Challengers Bangalore,S Asnani,RJ Tucker,Feroz Shah Kotla,0,3,Royal Challengers Bangalore
204,Mumbai,2011-04-27,male,T20,DE Bollinger,Pune Warriors,Chennai Super Kings,27.125,41.75,34.285714285714285,25.0,bat,Pune Warriors,Asad Rauf,SL Shastri,Dr DY Patil Sports Academy,0,8,Chennai Super Kings
205,Kochi,2011-04-27,male,T20,I Sharma,Deccan Chargers,Kochi Tuskers Kerala,10.0,66.5,3.75,25.583333333333332,field,Kochi Tuskers Kerala,HDPK Dharmasena,AL Hill,Nehru Stadium,55,0,Deccan Chargers
206,Delhi,2011-04-28,male,T20,MK Tiwary,Kolkata Knight Riders,Delhi Daredevils,4.333333333333333,37.76190476190476,4.0,28.135135135135137,field,Delhi Daredevils,PR Reiffel,RJ Tucker,Feroz Shah Kotla,17,0,Kolkata Knight Riders
207,Jaipur,2011-04-29,male,T20,J Botha,Mumbai Indians,Rajasthan Royals,15.266666666666667,27.8,32.21052631578947,61.0,field,Rajasthan Royals,Asad Rauf,SK Tarapore,Sawai Mansingh Stadium,0,7,Rajasthan Royals
208,Bangalore,2011-04-29,male,T20,V Kohli,Royal Challengers Bangalore,Pune Warriors,15.142857142857142,25.5,27.7027027027027,33.0,field,Pune Warriors,Aleem Dar,SS Hazare,M Chinnaswamy Stadium,26,0,Royal Challengers Bangalore
209,Kochi,2011-04-30,male,T20,V Sehwag,Delhi Daredevils,Kochi Tuskers Kerala,15.0,26.339285714285715,8.529411764705882,24.466666666666665,bat,Delhi Daredevils,HDPK Dharmasena,AL Hill,Nehru Stadium,38,0,Delhi Daredevils
