,city,date,gender,match_type,player of the match,team 1,team 2,toss_decision,toss_winner,umpire_1,umpire_2,venue,win_by_runs,win_by_wickets,winner
0,Belfast,2006-06-13,male,ODI,ME Trescothick,Ireland,England,bat,England,R Dill,DB Hair,"Civil Service Cricket Club, Stormont",38,0,England
1,Cardiff,2006-08-30,male,ODI,,England,Pakistan,field,Pakistan,BR Doctrove,IJ Gould,Sophia Gardens,0,0,no result
2,London,2006-09-02,male,ODI,Shoaib Akhtar,England,Pakistan,field,Pakistan,MR Benson,BR Doctrove,Lord's,0,7,Pakistan
3,Southampton,2006-09-05,male,ODI,Younis Khan,England,Pakistan,field,Pakistan,BR Doctrove,NJ Llong,The Rose Bowl,0,2,Pakistan
4,Nottingham,2006-09-08,male,ODI,IR Bell,England,Pakistan,bat,Pakistan,MR Benson,DJ Harper,Trent Bridge,0,8,England
5,Birmingham,2006-09-10,male,ODI,SI Mahmood,England,Pakistan,field,England,IJ Gould,DJ Harper,Edgbaston,0,3,England
6,London,2006-06-17,male,ODI,WU Tharanga,England,Sri Lanka,field,England,DB Hair,NJ Llong,Lord's,20,0,Sri Lanka
7,London,2006-06-20,male,ODI,ST Jayasuriya,England,Sri Lanka,bat,Sri Lanka,IJ Gould,DB Hair,Kennington Oval,46,0,Sri Lanka
8,Chester-le-Street,2006-06-24,male,ODI,DPMD Jayawardene,England,Sri Lanka,bat,England,MR Benson,BR Doctrove,Riverside Ground,0,8,Sri Lanka
9,Manchester,2006-06-28,male,ODI,DPMD Jayawardene,England,Sri Lanka,bat,Sri Lanka,BR Doctrove,NJ Llong,Old Trafford,33,0,Sri Lanka
10,Leeds,2006-07-01,male,ODI,ST Jayasuriya,England,Sri Lanka,bat,England,MR Benson,BR Doctrove,Headingley,0,8,Sri Lanka
11,Brisbane,2006-01-15,male,ODI,SM Pollock,Australia,South Africa,bat,Australia,Aleem Dar,SJA Taufel,"Brisbane Cricket Ground, Woolloongabba",0,5,South Africa
12,Melbourne,2006-01-20,male,ODI,B Lee,Australia,South Africa,bat,Australia,MR Benson,DJ Harper,Docklands Stadium,59,0,Australia
13,Melbourne,2006-02-03,male,ODI,MEK Hussey,Australia,South Africa,bat,Australia,Aleem Dar,PD Parker,Docklands Stadium,80,0,Australia
14,,2006-02-05,male,ODI,AC Gilchrist,Australia,South Africa,bat,Australia,Aleem Dar,PD Parker,Sydney Cricket Ground,57,0,Australia
15,,2006-01-22,male,ODI,ST Jayasuriya,Australia,Sri Lanka,bat,Sri Lanka,MR Benson,SJ Davis,Sydney Cricket Ground,51,0,Sri Lanka
16,,2006-01-26,male,ODI,A Symonds,Australia,Sri Lanka,bat,Sri Lanka,Aleem Dar,SJ Davis,Adelaide Oval,0,5,Australia
17,Perth,2006-01-29,male,ODI,AC Gilchrist,Australia,Sri Lanka,bat,Sri Lanka,MR Benson,PD Parker,Western Australia Cricket Association Ground,0,6,Australia
18,Brisbane,2006-01-17,male,ODI,KC Sangakkara,South Africa,Sri Lanka,field,South Africa,Aleem Dar,DJ Harper,"Brisbane Cricket Ground, Woolloongabba",94,0,Sri Lanka
19,,2006-01-24,male,ODI,HH Dippenaar,South Africa,Sri Lanka,bat,South Africa,Aleem Dar,DJ Harper,Adelaide Oval,9,0,South Africa
20,Perth,2006-01-31,male,ODI,GC Smith,South Africa,Sri Lanka,bat,Sri Lanka,MR Benson,PD Parker,Western Australia Cricket Association Ground,0,5,South Africa
21,Hobart,2006-02-07,male,ODI,HMCM Bandara,South Africa,Sri Lanka,bat,Sri Lanka,MR Benson,DJ Harper,Bellerive Oval,76,0,Sri Lanka
22,Christchurch,2006-01-03,male,ODI,WU Tharanga,New Zealand,Sri Lanka,field,New Zealand,GAV Baxter,DB Hair,Jade Stadium,0,5,New Zealand
23,Wellington,2006-01-06,male,ODI,JS Patel,New Zealand,Sri Lanka,bat,New Zealand,DB Hair,AL Hill,Westpac Stadium,21,0,New Zealand
24,Peshawar,2006-02-06,male,ODI,Salman Butt,Pakistan,India,field,Pakistan,Asad Rauf,SJA Taufel,Arbab Niaz Stadium,7,0,Pakistan
25,,2006-02-10,male,ODI,KC Sangakkara,Australia,Sri Lanka,bat,Sri Lanka,Aleem Dar,DJ Harper,Adelaide Oval,22,0,Sri Lanka
26,,2006-02-11,male,ODI,IK Pathan,Pakistan,India,bat,Pakistan,Asad Rauf,SJA Taufel,Rawalpindi Cricket Stadium,0,7,India
27,,2006-02-12,male,ODI,A Symonds,Australia,Sri Lanka,bat,Australia,MR Benson,PD Parker,Sydney Cricket Ground,167,0,Australia
28,Lahore,2006-02-13,male,ODI,MS Dhoni,Pakistan,India,field,India,Asad Rauf,SJA Taufel,Gaddafi Stadium,0,5,India
29,Brisbane,2006-02-14,male,ODI,AC Gilchrist,Australia,Sri Lanka,bat,Sri Lanka,Aleem Dar,DJ Harper,"Brisbane Cricket Ground, Woolloongabba",0,9,Australia
30,,2006-02-16,male,ODI,RP Singh,Pakistan,India,field,India,Asad Rauf,SA Bucknor,Multan Cricket Stadium,0,5,India
31,Wellington,2006-02-18,male,ODI,NJ Astle,New Zealand,West Indies,bat,New Zealand,AL Hill,RE Koertzen,Westpac Stadium,81,0,New Zealand
32,Karachi,2006-02-19,male,ODI,Yuvraj Singh,Pakistan,India,field,India,Aleem Dar,SA Bucknor,National Stadium,0,8,India
33,Bogra,2006-02-20,male,ODI,PDRL Perera,Bangladesh,Sri Lanka,bat,Bangladesh,K Hariharan,Mahbubur Rahman,Shaheed Chandu Stadium,0,5,Sri Lanka
34,Bogra,2006-02-22,male,ODI,Aftab Ahmed,Bangladesh,Sri Lanka,field,Bangladesh,K Hariharan,Mahbubur Rahman,Shaheed Chandu Stadium,0,4,Bangladesh
35,,2006-02-25,male,ODI,KC Sangakkara,Bangladesh,Sri Lanka,field,Bangladesh,AFM Akhtaruddin,K Hariharan,Chittagong Divisional Stadium,78,0,Sri Lanka
36,,2006-04-23,male,ODI,AC Gilchrist,Bangladesh,Australia,bat,Bangladesh,IL Howell,Mahbubur Rahman,Chittagong Divisional Stadium,0,4,Australia
37,Fatullah,2006-04-26,male,ODI,A Symonds,Bangladesh,Australia,bat,Australia,AFM Akhtaruddin,IL Howell,Narayanganj Osmani Stadium,67,0,Australia
38,Fatullah,2006-04-28,male,ODI,MJ Cosgrove,Bangladesh,Australia,bat,Bangladesh,IL Howell,Nadir Shah,Narayanganj Osmani Stadium,0,9,Australia
39,,2006-02-22,male,ODI,DL Vettori,New Zealand,West Indies,field,New Zealand,BF Bowden,RE Koertzen,Queenstown Events Centre,0,3,New Zealand
40,Christchurch,2006-02-25,male,ODI,NJ Astle,New Zealand,West Indies,bat,New Zealand,BF Bowden,RE Koertzen,Jade Stadium,21,0,New Zealand
41,Napier,2006-03-01,male,ODI,L Vincent,New Zealand,West Indies,field,West Indies,BF Bowden,RE Koertzen,McLean Park,91,0,New Zealand
42,Auckland,2006-03-04,male,ODI,DR Smith,New Zealand,West Indies,bat,New Zealand,DJ Harper,AL Hill,Eden Park,0,3,West Indies
43,Delhi,2006-03-28,male,ODI,Harbhajan Singh,India,England,field,England,Asad Rauf,AV Jayaprakash,Feroz Shah Kotla,39,0,India
44,Faridabad,2006-03-31,male,ODI,SK Raina,India,England,bat,England,Asad Rauf,AV Jayaprakash,Nahar Singh Stadium,0,4,India
45,Margao,2006-04-03,male,ODI,Yuvraj Singh,India,England,bat,India,Asad Rauf,K Hariharan,"Nehru Stadium, Fatorda",49,0,India
46,Jamshedpur,2006-04-12,male,ODI,AJ Strauss,India,England,bat,India,K Hariharan,RE Koertzen,Keenan Stadium,0,5,England
47,Indore,2006-04-15,male,ODI,S Sreesanth,India,England,field,India,AV Jayaprakash,RE Koertzen,Maharani Usharaje Trust Cricket Ground,0,7,India
48,Centurion,2006-02-26,male,ODI,GC Smith,South Africa,Australia,bat,Australia,BG Jerling,JW Lloyds,SuperSport Park,0,6,South Africa
49,Cape Town,2006-03-03,male,ODI,M Ntini,South Africa,Australia,bat,South Africa,KH Hurter,JW Lloyds,Newlands,196,0,South Africa
50,Port Elizabeth,2006-03-05,male,ODI,B Lee,South Africa,Australia,field,South Africa,BG Jerling,JW Lloyds,St George's Park,24,0,Australia
51,Durban,2006-03-10,male,ODI,HH Dippenaar,South Africa,Australia,bat,South Africa,KH Hurter,JW Lloyds,Kingsmead,0,1,Australia
52,Johannesburg,2006-03-12,male,ODI,HH Gibbs,South Africa,Australia,bat,Australia,Aleem Dar,BG Jerling,New Wanderers Stadium,0,1,South Africa
53,Colombo,2006-03-17,male,ODI,,Sri Lanka,Pakistan,field,Sri Lanka,SJ Davis,EAR de Silva,R Premadasa Stadium,0,0,no result
54,Colombo,2006-03-19,male,ODI,Abdul Razzaq,Sri Lanka,Pakistan,field,Pakistan,SJ Davis,TH Wijewardene,R Premadasa Stadium,0,4,Pakistan
55,Colombo,2006-03-22,male,ODI,Shahid Afridi,Sri Lanka,Pakistan,field,Pakistan,SJ Davis,EAR de Silva,Sinhalese Sports Club Ground,0,4,Pakistan
56,Antigua,2006-04-29,male,ODI,JE Taylor,West Indies,Zimbabwe,field,West Indies,BF Bowden,BR Doctrove,"Antigua Recreation Ground, St John's",0,5,West Indies
57,Antigua,2006-04-30,male,ODI,JE Taylor,West Indies,Zimbabwe,bat,West Indies,BF Bowden,SA Bucknor,"Antigua Recreation Ground, St John's",98,0,West Indies
58,St Lucia,2006-05-10,male,ODI,CH Gayle,West Indies,Zimbabwe,bat,Zimbabwe,BF Bowden,BR Doctrove,"Beausejour Stadium, Gros Islet",0,10,West Indies
59,Trinidad,2006-05-13,male,ODI,,West Indies,Zimbabwe,bat,West Indies,BF Bowden,SA Bucknor,"Queen's Park Oval, Port of Spain",0,0,no result
60,Trinidad,2006-05-14,male,ODI,RR Sarwan,West Indies,Zimbabwe,bat,West Indies,BF Bowden,BR Doctrove,"Queen's Park Oval, Port of Spain",104,0,West Indies
61,Jamaica,2006-05-20,male,ODI,RR Sarwan,West Indies,India,field,India,Asad Rauf,BR Doctrove,"Sabina Park, Kingston",1,0,West Indies
62,St Kitts,2006-05-23,male,ODI,RR Sarwan,West Indies,India,bat,India,Asad Rauf,SA Bucknor,"Warner Park, Basseterre",0,4,West Indies
63,Trinidad,2006-05-26,male,ODI,DJ Bravo,West Indies,India,field,West Indies,BR Doctrove,SJA Taufel,"Queen's Park Oval, Port of Spain",0,6,West Indies
64,Trinidad,2006-05-28,male,ODI,DJ Bravo,West Indies,India,field,India,SA Bucknor,SJA Taufel,"Queen's Park Oval, Port of Spain",19,0,West Indies
65,Abu Dhabi,2006-04-18,male,ODI,Younis Khan,India,Pakistan,bat,India,BG Jerling,RE Koertzen,Sheikh Zayed Stadium,0,6,Pakistan
66,Abu Dhabi,2006-04-19,male,ODI,R Dravid,India,Pakistan,bat,India,BG Jerling,RE Koertzen,Sheikh Zayed Stadium,51,0,India
67,Jamaica,2007-03-13,male,ODI,DR Smith,West Indies,Pakistan,field,Pakistan,BF Bowden,SJA Taufel,"Sabina Park, Kingston",54,0,West Indies
68,St Kitts,2007-03-14,male,ODI,RT Ponting,Australia,Scotland,field,Scotland,SA Bucknor,EAR de Silva,"Warner Park, Basseterre",203,0,Australia
69,Trinidad,2007-03-15,male,ODI,DPMD Jayawardene,Bermuda,Sri Lanka,bat,Sri Lanka,DJ Harper,IL Howell,"Queen's Park Oval, Port of Spain",243,0,Sri Lanka
70,Jamaica,2007-03-15,male,ODI,JP Bray,Ireland,Zimbabwe,field,Zimbabwe,IJ Gould,BG Jerling,"Sabina Park, Kingston",0,0,tie
71,St Kitts,2007-03-16,male,ODI,HH Gibbs,Netherlands,South Africa,field,Netherlands,MR Benson,AL Hill,"Warner Park, Basseterre",221,0,South Africa
72,St Lucia,2007-03-16,male,ODI,SB Styris,England,New Zealand,field,New Zealand,Asad Rauf,RE Koertzen,"Beausejour Stadium, Gros Islet",0,6,New Zealand
73,Trinidad,2007-03-17,male,ODI,Mashrafe Mortaza,Bangladesh,India,bat,India,Aleem Dar,SJ Davis,"Queen's Park Oval, Port of Spain",0,5,Bangladesh
74,Jamaica,2007-03-17,male,ODI,NJ O'Brien,Ireland,Pakistan,field,Ireland,BF Bowden,BG Jerling,"Sabina Park, Kingston",0,3,Ireland
75,St Kitts,2007-03-18,male,ODI,BJ Hodge,Australia,Netherlands,bat,Australia,SA Bucknor,AL Hill,"Warner Park, Basseterre",229,0,Australia
76,St Lucia,2007-03-18,male,ODI,PD Collingwood,Canada,England,field,Canada,BR Doctrove,PD Parker,"Beausejour Stadium, Gros Islet",51,0,England
77,Trinidad,2007-03-19,male,ODI,V Sehwag,Bermuda,India,field,Bermuda,Aleem Dar,IL Howell,"Queen's Park Oval, Port of Spain",257,0,India
78,Jamaica,2007-03-19,male,ODI,SC Williams,West Indies,Zimbabwe,field,West Indies,IJ Gould,SJA Taufel,"Sabina Park, Kingston",0,6,West Indies
79,St Kitts,2007-03-20,male,ODI,GC Smith,Scotland,South Africa,field,South Africa,MR Benson,EAR de Silva,"Warner Park, Basseterre",0,7,South Africa
80,St Lucia,2007-03-20,male,ODI,LRPL Taylor,Kenya,New Zealand,field,Kenya,BR Doctrove,RE Koertzen,"Beausejour Stadium, Gros Islet",148,0,New Zealand
81,Trinidad,2007-03-21,male,ODI,ST Jayasuriya,Bangladesh,Sri Lanka,field,Bangladesh,SJ Davis,DJ Harper,"Queen's Park Oval, Port of Spain",198,0,Sri Lanka
82,Jamaica,2007-03-21,male,ODI,Imran Nazir,Pakistan,Zimbabwe,field,Zimbabwe,BG Jerling,SJA Taufel,"Sabina Park, Kingston",93,0,Pakistan
83,St Kitts,2007-03-22,male,ODI,WF Stelling,Netherlands,Scotland,field,Netherlands,EAR de Silva,AL Hill,"Warner Park, Basseterre",0,8,Netherlands
84,St Lucia,2007-03-22,male,ODI,L Vincent,Canada,New Zealand,field,Canada,Asad Rauf,BR Doctrove,"Beausejour Stadium, Gros Islet",114,0,New Zealand
85,Trinidad,2007-03-23,male,ODI,M Muralitharan,India,Sri Lanka,field,India,Aleem Dar,DJ Harper,"Queen's Park Oval, Port of Spain",69,0,Sri Lanka
86,Jamaica,2007-03-23,male,ODI,S Chanderpaul,West Indies,Ireland,bat,Ireland,BF Bowden,IJ Gould,"Sabina Park, Kingston",0,8,West Indies
87,St Kitts,2007-03-24,male,ODI,ML Hayden,Australia,South Africa,field,South Africa,MR Benson,SA Bucknor,"Warner Park, Basseterre",83,0,Australia
88,St Lucia,2007-03-24,male,ODI,EC Joyce,England,Kenya,bat,Kenya,RE Koertzen,PD Parker,"Beausejour Stadium, Gros Islet",0,7,England
89,Trinidad,2007-03-25,male,ODI,Mohammad Ashraful,Bangladesh,Bermuda,field,Bangladesh,SJ Davis,IL Howell,"Queen's Park Oval, Port of Spain",0,7,Bangladesh
90,Antigua,2007-03-27,male,ODI,ML Hayden,West Indies,Australia,field,West Indies,Aleem Dar,Asad Rauf,"Sir Vivian Richards Stadium, North Sound",103,0,Australia
91,Guyana,2007-03-28,male,ODI,CK Langeveldt,South Africa,Sri Lanka,bat,Sri Lanka,SA Bucknor,DJ Harper,Providence Stadium,0,1,South Africa
92,Antigua,2007-03-29,male,ODI,JDP Oram,West Indies,New Zealand,field,New Zealand,Asad Rauf,RE Koertzen,"Sir Vivian Richards Stadium, North Sound",0,7,New Zealand
93,Guyana,2007-03-30,male,ODI,PD Collingwood,England,Ireland,bat,England,BR Doctrove,SJA Taufel,Providence Stadium,48,0,England
94,Antigua,2007-03-31,male,ODI,GD McGrath,Australia,Bangladesh,field,Australia,Aleem Dar,BF Bowden,"Sir Vivian Richards Stadium, North Sound",0,10,Australia
95,Guyana,2007-04-01,male,ODI,ST Jayasuriya,West Indies,Sri Lanka,field,West Indies,MR Benson,DJ Harper,Providence Stadium,113,0,Sri Lanka
96,Antigua,2007-04-02,male,ODI,SE Bond,Bangladesh,New Zealand,field,New Zealand,Aleem Dar,RE Koertzen,"Sir Vivian Richards Stadium, North Sound",0,9,New Zealand
97,Guyana,2007-04-03,male,ODI,JH Kallis,Ireland,South Africa,field,South Africa,DJ Harper,SJA Taufel,Providence Stadium,0,7,South Africa
98,Antigua,2007-04-04,male,ODI,RS Bopara,England,Sri Lanka,field,England,Asad Rauf,BF Bowden,"Sir Vivian Richards Stadium, North Sound",2,0,Sri Lanka
99,Guyana,2007-04-07,male,ODI,Mohammad Ashraful,Bangladesh,South Africa,field,South Africa,MR Benson,BR Doctrove,Providence Stadium,67,0,Bangladesh
100,Antigua,2007-04-08,male,ODI,SW Tait,Australia,England,bat,England,BF Bowden,RE Koertzen,"Sir Vivian Richards Stadium, North Sound",0,7,Australia
101,Guyana,2007-04-09,male,ODI,PG Fulton,Ireland,New Zealand,bat,New Zealand,SA Bucknor,SJA Taufel,Providence Stadium,129,0,New Zealand
102,Grenada,2007-04-10,male,ODI,AB de Villiers,West Indies,South Africa,field,West Indies,MR Benson,DJ Harper,"National Cricket Stadium, St George's",67,0,South Africa
103,Barbados,2007-04-11,male,ODI,SI Mahmood,Bangladesh,England,field,England,SA Bucknor,SJA Taufel,"Kensington Oval, Bridgetown",0,4,England
104,Grenada,2007-04-12,male,ODI,WPUJC Vaas,New Zealand,Sri Lanka,bat,New Zealand,Asad Rauf,BR Doctrove,"National Cricket Stadium, St George's",0,6,Sri Lanka
105,Barbados,2007-04-13,male,ODI,GD McGrath,Australia,Ireland,field,Australia,BF Bowden,RE Koertzen,"Kensington Oval, Bridgetown",0,9,Australia
106,Grenada,2007-04-14,male,ODI,CD McMillan,New Zealand,South Africa,field,New Zealand,MR Benson,DJ Harper,"National Cricket Stadium, St George's",0,5,New Zealand
107,Barbados,2007-04-15,male,ODI,WTS Porterfield,Bangladesh,Ireland,bat,Ireland,BF Bowden,SA Bucknor,"Kensington Oval, Bridgetown",74,0,Ireland
108,Grenada,2007-04-16,male,ODI,NW Bracken,Australia,Sri Lanka,bat,Sri Lanka,Aleem Dar,BR Doctrove,"National Cricket Stadium, St George's",0,7,Australia
109,Barbados,2007-04-17,male,ODI,AJ Hall,England,South Africa,bat,England,SA Bucknor,SJA Taufel,"Kensington Oval, Bridgetown",0,9,South Africa
110,Grenada,2007-04-18,male,ODI,MF Maharoof,Ireland,Sri Lanka,field,Sri Lanka,MR Benson,BR Doctrove,"National Cricket Stadium, St George's",0,8,Sri Lanka
111,Barbados,2007-04-19,male,ODI,RR Sarwan,West Indies,Bangladesh,field,Bangladesh,BF Bowden,RE Koertzen,"Kensington Oval, Bridgetown",99,0,West Indies
112,Grenada,2007-04-20,male,ODI,ML Hayden,Australia,New Zealand,bat,Australia,Aleem Dar,Asad Rauf,"National Cricket Stadium, St George's",215,0,Australia
113,Barbados,2007-04-21,male,ODI,KP Pietersen,West Indies,England,field,England,RE Koertzen,SJA Taufel,"Kensington Oval, Bridgetown",0,1,England
114,Jamaica,2007-04-24,male,ODI,DPMD Jayawardene,New Zealand,Sri Lanka,bat,Sri Lanka,RE Koertzen,SJA Taufel,"Sabina Park, Kingston",81,0,Sri Lanka
115,St Lucia,2007-04-25,male,ODI,GD McGrath,Australia,South Africa,bat,South Africa,Aleem Dar,SA Bucknor,"Beausejour Stadium, Gros Islet",0,7,Australia
116,Barbados,2007-04-28,male,ODI,AC Gilchrist,Australia,Sri Lanka,bat,Australia,Aleem Dar,SA Bucknor,"Kensington Oval, Bridgetown",53,0,Australia
117,,2006-08-06,male,ODI,Shahriar Nafees,Zimbabwe,Bangladesh,bat,Zimbabwe,KC Barbour,IL Howell,Harare Sports Club,0,8,Bangladesh
118,Durban,2006-11-22,male,ODI,JH Kallis,South Africa,India,bat,South Africa,BR Doctrove,IL Howell,Kingsmead,157,0,South Africa
119,Cape Town,2006-11-26,male,ODI,JM Kemp,South Africa,India,bat,South Africa,BR Doctrove,BG Jerling,Newlands,106,0,South Africa
120,Port Elizabeth,2006-11-29,male,ODI,HH Gibbs,South Africa,India,bat,South Africa,BR Doctrove,BG Jerling,St George's Park,80,0,South Africa
121,Centurion,2006-12-03,male,ODI,SM Pollock,South Africa,India,field,South Africa,BR Doctrove,IL Howell,SuperSport Park,0,9,South Africa
122,Hobart,2007-01-14,male,ODI,A Symonds,Australia,New Zealand,bat,Australia,Asad Rauf,DJ Harper,Bellerive Oval,105,0,Australia
123,,2007-01-21,male,ODI,MJ Clarke,Australia,New Zealand,bat,New Zealand,Asad Rauf,SJA Taufel,Sydney Cricket Ground,0,2,Australia
124,Perth,2007-01-28,male,ODI,RT Ponting,Australia,New Zealand,bat,Australia,Asad Rauf,SJA Taufel,Western Australia Cricket Association Ground,8,0,Australia
125,,2007-02-04,male,ODI,RT Ponting,Australia,New Zealand,bat,New Zealand,Asad Rauf,SJ Davis,Melbourne Cricket Ground,0,5,Australia
126,,2007-01-12,male,ODI,AC Gilchrist,Australia,England,bat,England,IL Howell,SJA Taufel,Melbourne Cricket Ground,0,8,Australia
127,Brisbane,2007-01-19,male,ODI,MEK Hussey,Australia,England,bat,England,DJ Harper,IL Howell,"Brisbane Cricket Ground, Woolloongabba",0,4,Australia
128,,2007-01-26,male,ODI,MG Johnson,Australia,England,bat,England,SJ Davis,IL Howell,Adelaide Oval,0,9,Australia
129,,2007-02-02,male,ODI,EC Joyce,Australia,England,bat,England,DJ Harper,IL Howell,Sydney Cricket Ground,92,0,England
130,Hobart,2007-01-16,male,ODI,A Flintoff,England,New Zealand,bat,New Zealand,Asad Rauf,SJ Davis,Bellerive Oval,0,3,England
131,,2007-01-23,male,ODI,JDP Oram,England,New Zealand,bat,New Zealand,DJ Harper,IL Howell,Adelaide Oval,90,0,New Zealand
132,Perth,2007-01-30,male,ODI,L Vincent,England,New Zealand,bat,New Zealand,Asad Rauf,SJ Davis,Western Australia Cricket Association Ground,58,0,New Zealand
133,Brisbane,2007-02-06,male,ODI,PD Collingwood,England,New Zealand,bat,England,DJ Harper,IL Howell,"Brisbane Cricket Ground, Woolloongabba",14,0,England
134,,2007-02-09,male,ODI,PD Collingwood,Australia,England,bat,Australia,Asad Rauf,DJ Harper,Melbourne Cricket Ground,0,4,England
135,,2007-02-11,male,ODI,,Australia,England,bat,England,SJ Davis,IL Howell,Sydney Cricket Ground,34,0,England
136,Nairobi,2006-08-12,male,ODI,Mashrafe Mortaza,Kenya,Bangladesh,field,Bangladesh,K Hariharan,SR Modi,Gymkhana Club Ground,0,6,Bangladesh
137,Nairobi,2006-08-13,male,ODI,Mashrafe Mortaza,Kenya,Bangladesh,bat,Kenya,K Hariharan,SR Modi,Gymkhana Club Ground,0,2,Bangladesh
138,Nairobi,2006-08-15,male,ODI,Mashrafe Mortaza,Kenya,Bangladesh,field,Bangladesh,K Hariharan,SR Modi,Gymkhana Club Ground,0,6,Bangladesh
139,Chandigarh,2006-10-07,male,ODI,WU Tharanga,Bangladesh,Sri Lanka,field,Bangladesh,SA Bucknor,DJ Harper,"Punjab Cricket Association Stadium, Mohali",37,0,Sri Lanka
140,Ahmedabad,2006-10-08,male,ODI,CH Gayle,West Indies,Zimbabwe,bat,Zimbabwe,MR Benson,RE Koertzen,"Sardar Patel Stadium, Motera",0,9,West Indies
141,Ahmedabad,2006-10-10,male,ODI,WU Tharanga,Sri Lanka,Zimbabwe,bat,Sri Lanka,Aleem Dar,Asad Rauf,"Sardar Patel Stadium, Motera",144,0,Sri Lanka
142,Jaipur,2006-10-11,male,ODI,CH Gayle,Bangladesh,West Indies,bat,Bangladesh,BF Bowden,SJA Taufel,Sawai Mansingh Stadium,0,10,West Indies
143,Jaipur,2006-10-13,male,ODI,Shahriar Nafees,Bangladesh,Zimbabwe,field,Zimbabwe,SA Bucknor,DJ Harper,Sawai Mansingh Stadium,101,0,Bangladesh
144,Mumbai,2006-10-14,male,ODI,MF Maharoof,Sri Lanka,West Indies,bat,West Indies,Asad Rauf,RE Koertzen,Brabourne Stadium,0,9,Sri Lanka
145,Jaipur,2006-10-15,male,ODI,MM Patel,India,England,field,India,DJ Harper,SJA Taufel,Sawai Mansingh Stadium,0,4,India
146,Mumbai,2006-10-16,male,ODI,SP Fleming,New Zealand,South Africa,field,South Africa,Aleem Dar,MR Benson,Brabourne Stadium,87,0,New Zealand
147,Jaipur,2006-10-17,male,ODI,Abdul Razzaq,Pakistan,Sri Lanka,bat,Sri Lanka,BF Bowden,SJA Taufel,Sawai Mansingh Stadium,0,4,Pakistan
148,Mumbai,2006-10-18,male,ODI,RS Morton,Australia,West Indies,bat,West Indies,MR Benson,RE Koertzen,Brabourne Stadium,10,0,West Indies
149,Mumbai,2006-10-20,male,ODI,M Muralitharan,New Zealand,Sri Lanka,bat,New Zealand,Aleem Dar,RE Koertzen,Brabourne Stadium,0,7,Sri Lanka
150,Jaipur,2006-10-21,male,ODI,DR Martyn,Australia,England,field,Australia,BF Bowden,SA Bucknor,Sawai Mansingh Stadium,0,6,Australia
151,Ahmedabad,2006-10-24,male,ODI,SM Pollock,South Africa,Sri Lanka,field,Sri Lanka,DJ Harper,SJA Taufel,"Sardar Patel Stadium, Motera",78,0,South Africa
152,Chandigarh,2006-10-25,male,ODI,SP Fleming,New Zealand,Pakistan,field,Pakistan,MR Benson,RE Koertzen,"Punjab Cricket Association Stadium, Mohali",51,0,New Zealand
153,Ahmedabad,2006-10-26,male,ODI,S Chanderpaul,India,West Indies,field,West Indies,Aleem Dar,DJ Harper,"Sardar Patel Stadium, Motera",0,3,West Indies
154,Chandigarh,2006-10-27,male,ODI,M Ntini,Pakistan,South Africa,bat,South Africa,MR Benson,BF Bowden,"Punjab Cricket Association Stadium, Mohali",124,0,South Africa
155,Ahmedabad,2006-10-28,male,ODI,CH Gayle,England,West Indies,bat,West Indies,DJ Harper,SJA Taufel,"Sardar Patel Stadium, Motera",0,3,England
156,Chandigarh,2006-10-29,male,ODI,DR Martyn,India,Australia,bat,India,BF Bowden,SA Bucknor,"Punjab Cricket Association Stadium, Mohali",0,6,Australia
157,Chandigarh,2006-11-01,male,ODI,GD McGrath,Australia,New Zealand,field,New Zealand,SA Bucknor,RE Koertzen,"Punjab Cricket Association Stadium, Mohali",34,0,Australia
158,Jaipur,2006-11-02,male,ODI,CH Gayle,South Africa,West Indies,bat,South Africa,Aleem Dar,SJA Taufel,Sawai Mansingh Stadium,0,6,West Indies
159,Mumbai,2006-11-05,male,ODI,SR Watson,Australia,West Indies,bat,West Indies,Aleem Dar,RE Koertzen,Brabourne Stadium,0,8,Australia
160,Centurion,2007-02-04,male,ODI,JH Kallis,South Africa,Pakistan,field,Pakistan,RE Koertzen,PD Parker,SuperSport Park,164,0,South Africa
161,Durban,2007-02-07,male,ODI,Younis Khan,South Africa,Pakistan,bat,Pakistan,SA Bucknor,BG Jerling,Kingsmead,141,0,Pakistan
162,Port Elizabeth,2007-02-09,male,ODI,,South Africa,Pakistan,bat,Pakistan,SA Bucknor,RE Koertzen,St George's Park,0,0,no result
163,Cape Town,2007-02-11,male,ODI,SM Pollock,South Africa,Pakistan,field,South Africa,BG Jerling,RB Tiffin,Newlands,0,10,South Africa
164,Johannesburg,2007-02-14,male,ODI,SM Pollock,South Africa,Pakistan,bat,Pakistan,RE Koertzen,RB Tiffin,New Wanderers Stadium,0,9,South Africa
165,Napier,2006-12-28,male,ODI,ST Jayasuriya,New Zealand,Sri Lanka,bat,New Zealand,SJ Davis,AL Hill,McLean Park,0,7,Sri Lanka
166,Christchurch,2007-01-02,male,ODI,MJ Mason,New Zealand,Sri Lanka,field,New Zealand,SJ Davis,AL Hill,Jade Stadium,0,4,New Zealand
167,Auckland,2007-01-06,male,ODI,ST Jayasuriya,New Zealand,Sri Lanka,bat,Sri Lanka,GAV Baxter,SJ Davis,Eden Park,189,0,Sri Lanka
