,city,date,gender,match_type,player of the match,team 1,team 2,toss_decision,toss_winner,umpire_1,umpire_2,venue,win_by_runs,win_by_wickets,winner
582,Antigua,2010-05-22,male,ODI,HM Amla,West Indies,South Africa,field,West Indies,DJ Harper,NA Malcolm,"Sir Vivian Richards Stadium, North Sound",66,0,South Africa
583,Antigua,2010-05-24,male,ODI,HM Amla,West Indies,South Africa,bat,South Africa,CR Duncan,DJ Harper,"Sir Vivian Richards Stadium, North Sound",17,0,South Africa
584,Dominica,2010-05-28,male,ODI,AB de Villiers,West Indies,South Africa,bat,South Africa,BR Doctrove,DJ Harper,"Windsor Park, Roseau",67,0,South Africa
585,Dominica,2010-05-30,male,ODI,HM Amla,West Indies,South Africa,bat,West Indies,BR Doctrove,DJ Harper,"Windsor Park, Roseau",0,7,South Africa
586,Trinidad,2010-06-03,male,ODI,JH Kallis,West Indies,South Africa,bat,West Indies,DJ Harper,NA Malcolm,"Queen's Park Oval, Port of Spain",0,1,South Africa
587,Jaipur,2010-02-21,male,ODI,RA Jadeja,India,South Africa,field,South Africa,AM Saheba,SK Tarapore,Sawai Mansingh Stadium,1,0,India
588,Gwalior,2010-02-24,male,ODI,SR Tendulkar,India,South Africa,bat,India,IJ Gould,SK Tarapore,Captain Roop Singh Stadium,153,0,India
589,Ahmedabad,2010-02-27,male,ODI,AB de Villiers,India,South Africa,bat,South Africa,IJ Gould,SS Hazare,"Sardar Patel Stadium, Motera",90,0,South Africa
590,,2010-11-03,male,ODI,AD Mathews,Australia,Sri Lanka,bat,Australia,M Erasmus,PR Reiffel,Melbourne Cricket Ground,0,1,Sri Lanka
591,,2010-11-05,male,ODI,WU Tharanga,Australia,Sri Lanka,bat,Sri Lanka,M Erasmus,BNJ Oxenford,Sydney Cricket Ground,29,0,Sri Lanka
592,Brisbane,2010-11-07,male,ODI,CJ McKay,Australia,Sri Lanka,bat,Sri Lanka,M Erasmus,PR Reiffel,"Brisbane Cricket Ground, Woolloongabba",0,8,Australia
593,,2011-01-16,male,ODI,SR Watson,Australia,England,bat,England,BF Bowden,BNJ Oxenford,Melbourne Cricket Ground,0,6,Australia
594,Hobart,2011-01-21,male,ODI,SE Marsh,Australia,England,field,England,AL Hill,PR Reiffel,Bellerive Oval,46,0,Australia
595,,2011-01-23,male,ODI,B Lee,Australia,England,bat,England,GAV Baxter,PR Reiffel,Sydney Cricket Ground,0,4,Australia
596,,2011-01-26,male,ODI,IJL Trott,Australia,England,bat,England,M Erasmus,SD Fry,Adelaide Oval,21,0,England
597,Brisbane,2011-01-30,male,ODI,CR Woakes,Australia,England,bat,Australia,Asad Rauf,RJ Tucker,"Brisbane Cricket Ground, Woolloongabba",51,0,Australia
598,,2011-02-02,male,ODI,IJL Trott,Australia,England,bat,England,M Erasmus,DJ Harper,Sydney Cricket Ground,0,2,Australia
599,Perth,2011-02-06,male,ODI,AC Voges,Australia,England,bat,Australia,Asad Rauf,PR Reiffel,Western Australia Cricket Association Ground,57,0,Australia
